matric_no,PHY102,MTS104,EEE201,EEE202,EEE301,EEE303,EEE305,EEE311,output
CPE/15/2364,60.0,70.0,57,64,53.0,46.0,62.0,45.0,51.5
CPE/15/2366,55.0,61.0,54,74,57.0,64.0,48.0,53.0,55.5
CPE/15/2368,68.0,54.0,44,52,48.0,58.0,45.0,55.0,51.5
CPE/15/2370,67.0,74.0,75,54,63.0,67.0,48.0,81.0,64.75
CPE/15/2371,56.0,72.0,66,60,53.0,62.0,70.0,63.0,62.0
CPE/15/2372,83.0,74.0,73,69,60.0,70.0,62.0,75.0,66.75
CPE/15/2373,71.0,71.0,61,52,80.0,60.0,41.0,64.0,61.25
CPE/15/2374,51.0,50.0,45,45,32.0,34.0,0.0,33.0,24.75
CPE/15/2375,51.0,51.0,45,35,29.0,26.0,0.0,39.0,23.5
CPE/15/2377,60.0,61.0,24,63,45.0,45.0,47.0,58.0,48.75
CPE/15/2379,81.0,76.0,74,90,75.0,76.0,94.0,86.0,82.75
CPE/15/2380,71.0,73.0,70,60,61.0,60.0,61.0,57.0,59.75
CPE/15/2381,65.0,63.0,52,51,47.0,35.0,45.0,54.0,45.25
CPE/15/2383,74.0,70.0,64,51,46.0,50.0,63.0,52.0,52.75
CPE/15/2384,70.0,71.0,70,57,76.0,66.0,50.0,61.0,63.25
CPE/15/2385,74.0,80.0,53,74,55.0,65.0,64.0,67.0,62.75
CPE/15/2386,72.0,71.0,60,82,76.0,83.0,74.0,81.0,78.5
CPE/15/2389,63.0,61.0,55,66,66.0,56.0,74.0,61.0,64.25
CPE/15/2391,74.0,72.0,53,54,46.0,30.0,35.0,46.0,39.25
CPE/15/2392,70.0,77.0,75,82,85.0,89.0,77.0,84.0,83.75
CPE/15/2393,51.0,61.0,55,60,51.0,47.0,53.0,56.0,51.75
CPE/15/2395,66.0,51.0,45,37,28.0,32.0,0.0,46.0,26.5
CPE/15/2396,73.0,62.0,45,47,34.0,45.0,56.0,37.0,43.0
CPE/15/2397,66.0,61.0,54,51,50.0,51.0,70.0,46.0,54.25
CPE/15/2398,68.0,62.0,75,74,70.0,51.0,68.0,53.0,60.5
CPE/15/2399,78.0,81.0,76,77,71.0,72.0,85.0,92.0,80.0
CPE/15/2400,75.0,76.0,70,70,70.0,60.0,80.0,77.0,71.75
CPE/15/2402,53.0,51.0,51,64,45.0,37.0,58.0,51.0,47.75
CPE/15/2404,65.0,61.0,48,50,53.0,53.0,38.0,45.0,47.25
CPE/15/2408,76.0,60.0,64,56,61.0,60.0,61.0,67.0,62.25
CPE/15/2409,55.0,50.0,52,50,47.0,45.0,0.0,36.0,32.0
CPE/15/2410,62.0,60.0,45,56,45.0,45.0,31.0,47.0,42.0
CPE/15/2413,66.0,72.0,51,41,45.0,35.0,45.0,70.0,48.75
CPE/15/2414,63.0,60.0,51,56,34.0,45.0,0.0,51.0,32.5
CPE/15/2416,50.0,51.0,45,46,32.0,46.0,0.0,47.0,31.25
CPE/15/2417,57.0,52.0,61,50,30.0,45.0,57.0,45.0,44.25
CPE/15/2418,80.0,81.0,62,81,79.0,87.0,77.0,74.0,79.25
CPE/15/2421,51.0,46.0,41,39,45.0,35.0,33.0,35.0,37.0
CPE/15/2422,75.0,74.0,78,78,71.0,55.0,80.0,76.0,70.5
CPE/15/2426,77.0,73.0,73,86,79.0,70.0,85.0,75.0,77.25
CPE/15/2428,61.0,50.0,51,53,55.0,45.0,60.0,57.0,54.25
CPE/15/2429,68.0,75.0,80,51,50.0,51.0,81.0,77.0,64.75
CPE/15/2430,70.0,73.0,70,65,60.0,63.0,60.0,67.0,62.5
CPE/15/2431,64.0,50.0,46,0,45.0,45.0,25.0,56.0,42.75
CPE/15/2432,62.0,62.0,58,50,45.0,36.0,0.0,45.0,31.5
CPE/15/2435,66.0,71.0,64,38,46.0,45.0,52.0,47.0,47.5
CPE/15/2438,48.0,61.0,48,57,65.0,47.0,68.0,65.0,61.25
CPE/15/2439,79.0,77.0,84,60,70.0,66.0,74.0,88.0,74.5
CPE/15/2441,57.0,61.0,60,54,50.0,50.0,55.0,50.0,51.25
CPE/15/2444,78.0,82.0,83,86,77.0,70.0,80.0,58.0,71.25
CPE/15/2445,47.0,46.0,31,53,45.0,33.0,0.0,48.0,31.5
CPE/15/2446,67.0,71.0,61,53,45.0,48.0,47.0,46.0,46.5
CPE/15/2447,45.0,45.0,45,43,47.0,51.0,29.0,29.0,39.0
CPE/15/2448,85.0,85.0,75,79,72.0,67.0,86.0,63.0,72.0
CPE/15/2449,68.0,71.0,50,56,48.0,52.0,0.0,53.0,38.25
CPE/15/2454,72.0,72.0,70,73,72.0,67.0,87.0,77.0,75.75
CPE/15/2455,75.0,75.0,78,84,72.0,82.0,76.0,85.0,78.75
CPE/15/2456,68.0,70.0,63,62,60.0,63.0,58.0,53.0,58.5
CPE/15/2458,63.0,60.0,51,50,45.0,50.0,58.0,55.0,52.0
CPE/15/2461,75.0,71.0,65,65,60.0,54.0,52.0,63.0,57.25
CPE/15/2462,60.0,61.0,51,0,45.0,45.0,0.0,18.0,27.0
CPE/15/2463,70.0,73.0,72,78,65.0,66.0,65.0,71.0,66.75
CPE/15/2465,74.0,72.0,79,79,76.0,54.0,66.0,72.0,67.0
CPE/15/2466,63.0,70.0,45,45,54.0,45.0,0.0,66.0,41.25
CPE/15/2467,64.0,71.0,84,82,63.0,57.0,61.0,56.0,59.25
CPE/15/4547,45.0,51.0,48,0,0.0,0.0,0.0,0.0,0.0
CPE/15/4548,64.0,61.0,60,68,60.0,45.0,57.0,65.0,56.75
CPE/15/4549,56.0,53.0,62,55,51.0,53.0,56.0,47.0,51.75
CPE/15/4551,70.0,61.0,45,64,52.0,45.0,78.0,61.0,59.0
CPE/16/7804,0.0,0.0,36,50,46.0,45.0,0.0,48.0,34.75
CPE/16/7811,0.0,0.0,64,60,60.0,48.0,34.0,55.0,49.25
CPE/16/7812,0.0,0.0,45,58,50.0,48.0,50.0,50.0,49.5
CPE/16/7818,0.0,0.0,61,60,74.0,47.0,58.0,53.0,58.0
CPE/16/7821,0.0,0.0,60,60,70.0,53.0,50.0,36.0,52.25
CPE/16/7831,0.0,0.0,70,68,76.0,78.0,65.0,64.0,70.75
CPE/16/7839,0.0,0.0,70,65,75.0,71.0,45.0,51.0,60.5
CPE/16/7860,0.0,0.0,56,65,64.0,65.0,66.0,65.0,65.0
CPE/16/7865,0.0,0.0,66,70,71.0,54.0,50.0,51.0,56.5
